,Date,Category,Sub-Category,Amount,Credit,Comments,Type
0,30-04-2022,Income,Salary,,45416.0,Salary,
1,01-05-2022,Income,Salary,,49714.0,Salary,
2,01-05-2022,Car,Maintenance,500.0,,car wash,mandatory
3,01-05-2022,Others,Gift,500.0,,tv return,optional
4,02-05-2022,Food,Swiggy,188.0,,icecream,optional
5,02-05-2022,Shopping,Amazon,789.0,,shorts men,optional
6,02-05-2022,Bill,Electricity,780.0,,electricity bill,mandatory
7,02-05-2022,Bill,Mobile,470.0,,vodafone bill,mandatory
8,02-05-2022,Bill,Mobile,470.0,,jio mine,mandatory
9,02-05-2022,Bill,Mobile,155.0,,airtel,mandatory
10,02-05-2022,Bill,D2H,500.0,,d2h ,mandatory
11,03-05-2022,Bill,Credit,513.0,,credit repayment,mandatory
12,04-05-2022,Bill,OTT,199.0,,netflix,mandatory
13,04-05-2022,Food,Swiggy,10.0,,licious,optional
14,04-05-2022,Food,Dunzo,478.0,,momos,optional
15,05-05-2022,ID,ID,466.0,,dl fees,optional
16,05-05-2022,Shopping,Big Basket,1500.0,,big basket,mandatory
17,05-05-2022,Enternainment,Movies,280.0,,dr. strange mobie,optional
18,05-05-2022,Shopping,Amazon,1954.0,,sling bag,optional
19,06-05-2022,Shopping,Amazon,599.0,,file folder,optional
20,06-05-2022,Income,Gift,,5.0,google pay,
21,08-05-2022,Others,Gift,2000.0,,megh,optional
22,09-05-2022,Shopping,Dunzo,12.0,,gift wrap,optional
23,09-05-2022,Food,Country Delight,500.0,,coconut water,mandatory
24,09-05-2022,Bill,Electricity,120.0,,security deposit,mandatory
25,10-05-2022,Others,Gift,1500.0,,megh,optional
26,10-05-2022,Bill,Car loan,7128.0,,car loan,mandatory
27,11-05-2022,Shopping,Medical,40.0,,eye drops,optional
28,11-05-2022,Shopping,Medical,90.0,,perfume,optional
29,11-05-2022,Shopping,Xerox,75.0,,xerox,mandatory
30,11-05-2022,Travel,Ola,60.0,,ola ride,mandatory
31,12-05-2022,Food,Swiggy,473.0,,momos,optional
32,14-05-2022,Food,Swiggy,193.0,,licious,optional
33,15-05-2022,Shopping,Big Basket,1500.0,,big basket,mandatory
34,16-05-2022,Bill,Rent,21175.0,,rent,mandatory
35,16-05-2022,Income,Gift,,9999.0,gift,
36,16-05-2022,Income,Gift,,9999.0,gift,
37,17-05-2022,Car,Challan,500.0,,challan,mandatory
38,17-05-2022,Shopping,Xerox,246.0,,xerox,mandatory
39,17-05-2022,Food,Stall,20.0,,tea,optional
40,17-05-2022,Food,Stall,760.0,,fruits,optional
41,17-05-2022,Car,Driver,2000.0,,driver,mandatory
42,17-05-2022,Bill,Mobile,299.0,,Jio,mandatory
43,19-05-2022,Food,Stall,70.0,,breakfast,mandatory
44,20-05-2022,Bill,Ola,813.0,,travel,mandatory
45,20-05-2022,Car,Fasttag,200.0,,fasttag,optional
46,20-05-2022,Bill,Wifi,884.0,,wifi,mandatory
47,20-05-2022,Food,Swiggy,327.0,,butter chichen,optional
48,21-05-2022,Bill,Mobile,299.0,,Mom jio,mandatory
49,23-05-2022,Food,Stall,45.0,,tea,optional
50,23-05-2022,Food,Stall,895.0,,fruits,optional
51,23-05-2022,Car,Driver,2000.0,,driver,mandatory
52,23-05-2022,Food,Stall,160.0,,egg,mandatory
53,23-05-2022,Shopping,Stall,90.0,,jute bag,optional
54,24-05-2022,Shopping,Amazon,175.0,,cork opener,optional
55,25-05-2022,Food,Swiggy,154.0,,vada pav,optional
56,26-05-2022,Shopping,Big Basket,1500.0,,big basket,mandatory
57,27-05-2022,Food,Swiggy,369.0,,pizza,optional
58,29-05-2022,Food,Stall,345.0,,beer,optional
