Reminder,Last recharged date,Recharge period,Next Recharge date
House rent,2022-08-16,30.0,2022-09-15
Car loan,07-09-2022,30.0,07-10-2022
Electricity bill,05-09-2022,30.0,05-10-2022
Wifi recharge,19-08-2022,30.0,18-09-2022
Vodafone recharge,02-09-2022,30.0,02-10-2022
Jio recharge,05-09-2022,30.0,05-10-2022
Jio-fi recharge,10-08-2022,84.0,02-11-2022
Mom Jio recharge,13-08-2022,54.0,08-10-2022
Mom Airtel recharge,10-09-2022,27.0,07-10-2022
Car wash,01-09-2022,30.0,01-10-2022
D2H recharge,2022-09-08,30.0,2022-10-10
Cylinder recharge,26-08-2022,45.0,10-10-2022
Country delight recharge,01-09-2022,30.0,01-10-2022
Credit card bills,02-09-2022,30.0,02-10-2022
Car service,2022-06-08,120.0,2022-10-06
